2022-11-23 21:45:48.126565	Started
2022-11-23 21:45:48.405392	Server List: 192.168.1.100
2022-11-23 21:45:48.405392	Server List: 172.16.5.66
2022-11-23 21:45:48.421011	Server List: 192.168.1.100
2022-11-23 21:45:48.421011	Server List: 172.16.5.66
2022-11-23 21:45:57.157979	Login
2022-11-23 21:45:57.157979	admin
2022-11-23 21:45:57.157979	admin
2022-11-23 21:45:57.157979	Login Successful
2022-11-23 21:46:00.395980	Logging All Entry Box
2022-11-23 21:46:00.395980	Username: 
2022-11-23 21:46:00.395980	Password: 
2022-11-23 21:46:00.395980	File to Extend: 
2022-11-23 21:46:00.395980	New Disk Name: 
2022-11-23 21:46:00.395980	New Disk Size: 
2022-11-23 21:46:00.395980	Console Out: ERROR::
Username is empty
2022-11-23 21:46:00.395980	Error Message: Username is empty
2022-11-23 21:46:01.824149	Console Out: Some Entry Box is Empty
2022-11-23 21:46:03.699878	Exit Tool Confirm?
2022-11-23 21:46:03.699878	Confirm: Are you sure you want to exit?
2022-11-23 21:46:05.140168	Confirm: Yes
2022-11-23 21:46:05.148171	Exit Tool: Yes
2022-11-23 21:46:05.463568	Ended
2022-11-23 21:46:05.463568	----------------------------------------------------
